Scenario,Features,Class,Precision,Recall,F1-Score,Accuracy
1,With all Features,0,0.83,0.96,0.89,0.81
1,With all Features,1,0.43,0.12,0.19,
2,All features without Plane Age,0,0.82,0.98,0.9,0.81
2,All features without Plane Age,1,0.49,0.07,0.13,
3,All features without Concurrent Flights,0,0.83,0.97,0.89,0.81
3,All features without Concurrent Flights,1,0.47,0.12,0.19,
4,All features without  Prcp,0,0.83,0.97,0.89,0.81
4,All features without  Prcp,1,0.44,0.1,0.16,
5,All features without Plane Age & Concurrent flight,0,0.83,0.98,0.89,0.81
5,All features without Plane Age & Concurrent flight,1,0.47,0.09,0.15,
6,"'MONTH', 'DAY_OF_WEEK', 'DEP_TIME_BLK', 'CONCURRENT_FLIGHTS',",0,0.82,0.99,0.9,0.81
6,"'MONTH', 'DAY_OF_WEEK', 'DEP_TIME_BLK', 'CONCURRENT_FLIGHTS',",1,0.54,0.04,0.08,
7,"'MONTH', 'DAY_OF_WEEK', 'DEP_TIME_BLK', 'CONCURRENT_FLIGHTS',",0,0.82,0.99,0.9,0.81
7,"'MONTH', 'DAY_OF_WEEK', 'DEP_TIME_BLK', 'CONCURRENT_FLIGHTS',",1,0.56,0.04,0.08,
8,"MONTH', 'DAY_OF_WEEK', 'DEP_TIME_BLK',
            'PLANE_AGE','PRCP', 'TMAX', 'AWND'",0,0.82,0.99,0.9,0.82
8,"MONTH', 'DAY_OF_WEEK', 'DEP_TIME_BLK',
            'PLANE_AGE','PRCP', 'TMAX', 'AWND'",1,0.51,0.05,0.08,
9,"MONTH', 'DAY_OF_WEEK', 'DEP_TIME_BLK',
            'PRCP', 'TMAX', 'AWND'",0,0.82,0.99,0.9,0.81
9,"MONTH', 'DAY_OF_WEEK', 'DEP_TIME_BLK',
            'PRCP', 'TMAX', 'AWND'",1,0.56,0.03,0.06,
10,"MONTH', 'DAY_OF_WEEK', 'DEP_TIME_BLK',  'TMAX', 'AWND'",0,0.82,1,0.9,0.81
10,"MONTH', 'DAY_OF_WEEK', 'DEP_TIME_BLK',  'TMAX', 'AWND'",1,0.58,0,0.01,
11,"MONTH', 'DAY_OF_WEEK', 'DEP_TIME_BLK','TMAX', 'AWND','AIRPORT_FLIGHTS_MONTH','AIRLINE_FLIGHTS_MONTH','AIRLINE_AIRPORT_FLIGHTS_MONTH'",0,0.82,0.99,0.9,0.81
11,"MONTH', 'DAY_OF_WEEK', 'DEP_TIME_BLK','TMAX', 'AWND','AIRPORT_FLIGHTS_MONTH','AIRLINE_FLIGHTS_MONTH','AIRLINE_AIRPORT_FLIGHTS_MONTH'",1,0.47,0.03,0.06,
12,"MONTH', 'DAY_OF_WEEK', 'DEP_TIME_BLK','TMAX', 'AWND','AIRPORT_FLIGHTS_MONTH','AIRLINE_FLIGHTS_MONTH','AIRLINE_AIRPORT_FLIGHTS_MONTH', 'PRCP'",0,0.82,0.99,0.9,0.82
12,"MONTH', 'DAY_OF_WEEK', 'DEP_TIME_BLK','TMAX', 'AWND','AIRPORT_FLIGHTS_MONTH','AIRLINE_FLIGHTS_MONTH','AIRLINE_AIRPORT_FLIGHTS_MONTH', 'PRCP'",1,0.54,0.06,0.11,
